obsid next_obsid time timestop date datestop gui_ms manvr_angle manvr_slew_err one_shot roll_err pitch_err yaw_err
51465 51464 565246162.222 565248943.0469999 2015:334:04:48:14.038 2015:334:05:34:34.863 ENAB 168.26 49.6 4.377623081207275 13.82286140336605 5.685016808653307 4.697478109674148
51464 51463 565251930.922 565269616.273 2015:334:06:24:22.738 2015:334:11:19:08.089 ENAB 56.74 32.8 12.265666007995605 1.2457495274112145 0.3419391029959656 0.2935823079092424
51463 51462 565271110.723 565274302.573 2015:334:11:44:02.539 2015:334:12:37:14.389 ENAB 46.62 29.2 5.966557025909424 1.324976811949353 0.5795373447396002 0.3237672250434696
51462 51461 565275669.923 565285166.549 2015:334:13:00:01.739 2015:334:15:38:18.365 ENAB 19.34 24.4 3.7974345684051514 1.067229084850476 0.31778851667056074 0.3046991411446323
51461 16354 565286100.324 565295250.499 2015:334:15:53:52.140 2015:334:18:26:22.315 ENAB 80.58 64.6 19.382301330566406 0.696138422649412 0.3102343708042196 0.2880150367250209
16354 17260 565297092.4239999 565347803.2770001 2015:334:18:57:04.240 2015:335:09:02:15.093 ENAB 107.19 55.2 19.466960906982422 1.249882640213257 0.30788787315533306 0.30912514875002023
17260 17268 565349990.627 565355161.753 2015:335:09:38:42.443 2015:335:11:04:53.569 ENAB 2.47 20.6 0.5303376913070679 2.0381184223278046 0.30864730231238374 0.20000008266082264
17268 17269 565355595.328 565360779.778 2015:335:11:12:07.144 2015:335:12:38:31.594 ENAB 0.44 20.3 0.39574137330055237 1.0851960883939973 0.2737718661574629 0.12208766373252783
17269 17182 565361097.528 565366289.153 2015:335:12:43:49.344 2015:335:14:10:20.969 ENAB 98.82 73.2 15.443670272827148 0.957240398370142 0.2992481799444462 0.1850785247315416
17182 17261 565368362.729 565393536.73 2015:335:14:44:54.545 2015:335:21:44:28.546 ENAB 99.41 67.9 15.164811134338379 1.0561481201133884 0.24866271672653392 0.24820627038797624
17261 17264 565395611.33 565400792.705 2015:335:22:19:03.146 2015:335:23:45:24.521 ENAB 7.53 20.3 3.6761326789855957 1.0925096601901332 0.4047811434944388 0.29558724815823784
17264 17190 565401433.3299999 565406617.781 2015:335:23:56:05.146 2015:336:01:22:29.597 ENAB 168.83 60.2 53.97280502319336 0.7872276934674349 0.4237788035739101 0.2585842585195383
17190 18720 565409674.331 565439798.058 2015:336:02:13:26.147 2015:336:10:35:29.874 ENAB 60.05 47.9 10.1229887008667 1.2233905087931243 0.3377585282165668 0.3019449207226776
18720 17726 565441346.8330001 565451529.183 2015:336:11:01:18.649 2015:336:13:51:00.999 ENAB 116.53 70.9 17.7493953704834 2.8880993667526744 0.37985895298300953 0.33133127601812856
17726 51460 565453843.633 565469284.2340001 2015:336:14:29:35.449 2015:336:18:46:56.050 ENAB 0.0 20.3 7.6683526039123535 0.5736331310354986 0.34066256340182893 0.2102066589534128
51460 51459 565469792.634 565469977.134 2015:336:18:55:24.450 2015:336:18:58:28.950 ENAB 80.31 38.6 22.69776153564453 7.131919313302544 2.6408575077988545 0.5057557311733416
51459 51458 565471809.834 565475013.985 2015:336:19:29:01.650 2015:336:20:22:25.801 ENAB 101.9 53.1 30.409582138061523 1.1842575644322677 0.3991849824109569 0.3098832553499945
51458 51457 565477160.335 565480301.96 2015:336:20:58:12.151 2015:336:21:50:33.776 ENAB 82.85 56.5 43.8074836730957 3.0342751283336997 0.299357886522936 0.3022309682447049
51457 51456 565482203.335 565482466.76 2015:336:22:22:15.151 2015:336:22:26:38.576 ENAB 47.5 31.2 10.430474281311035 35.154759008864964 4.036466709178988 2.7501980475133156
51456 51455 565483847.435 565498320.436 2015:336:22:49:39.251 2015:337:02:50:52.252 ENAB 88.37 35.8 5.128523826599121 0.8876982462026184 0.39058093258227433 0.27683727206573633
51455 51454 565500239.2360001 565503608.411 2015:337:03:22:51.052 2015:337:04:19:00.227 ENAB 48.41 30.4 16.631397247314453 1.2027917479850332 0.5282397079855702 0.29682392344332936
51454 51453 565505011.636 565514628.187 2015:337:04:42:23.452 2015:337:07:22:40.003 ENAB 70.83 34.1 14.722613334655762 1.3754628113712402 0.4181037768173828 0.23923451686258762
51453 17021 565516319.437 565526331.637 2015:337:07:50:51.253 2015:337:10:37:43.453 ENAB 19.52 30.1 2.9177980422973633 0.760761244042164 0.35805600864665654 0.2591878698173316
17021 18424 565527270.538 565530399.863 2015:337:10:53:22.354 2015:337:11:45:31.679 ENAB 82.78 64.4 24.72905731201172 0.864854139912402 0.35796491166561234 0.3308720391779377
18424 18095 565532280.738 565547933.514 2015:337:12:16:52.554 2015:337:16:37:45.330 ENAB 82.44 55.4 41.60966110229492 1.6436814385812648 0.5343010527261686 0.41097419991211964
18095 17258 565549828.739 565562462.8889999 2015:337:17:09:20.555 2015:337:20:39:54.705 ENAB 93.14 37.8 3.949747323989868 1.408483928706492 0.3937975414697938 0.27171618098801387
17258 17259 565564445.24 565569634.815 2015:337:21:12:57.056 2015:337:22:39:26.631 ENAB 0.42 20.3 2.9917142391204834 0.8285174376451516 0.3588215534577068 0.2546043184626005
17259 17263 565569963.84 565575145.215 2015:337:22:44:55.656 2015:338:00:11:17.031 ENAB 0.75 20.5 1.3018798828125 3.8690751810842396 0.520842186644505 0.4160733515501115
17263 17266 565575461.94 565580654.591 2015:338:00:16:33.756 2015:338:01:43:06.407 ENAB 1.79 20.5 1.048459529876709 1.6630389467436022 0.3639049751083418 0.2043417842874599
17266 51452 565581050.2409999 565586231.616 2015:338:01:49:42.057 2015:338:03:16:03.432 ENAB 142.89 48.5 30.18055534362793 1.3910044515928286 0.5088632337919661 0.2321741631575005
51452 16827 565588918.141 565589167.216 2015:338:04:00:49.957 2015:338:04:04:59.032 ENAB 89.99 65.1 36.46604537963867 17.215873966775437 2.7197208171256633 3.896414480660671
16827 51451 565591164.941 565601369.842 2015:338:04:38:16.757 2015:338:07:28:21.658 ENAB 119.63 68.2 28.160419464111328 0.5604390577642634 0.2982145968992192 0.2577321190494065
51451 17198 565603739.642 565604794.367 2015:338:08:07:51.458 2015:338:08:25:26.183 ENAB 19.38 22.0 3.94376802444458 7.173748285573999 0.5476546395126056 0.320066466467566
17198 51450 565605728.1420001 565699014.4219999 2015:338:08:40:59.958 2015:339:10:35:46.238 DISA 0.0 20.3 7.35446310043335 2.0956883376063833 0.3839542650402401 0.36391998284821714
51450 51449 565699515.647 565699913.347 2015:339:10:44:07.463 2015:339:10:50:45.163 ENAB 21.11 22.0 8.44456672668457 7.538054267491804 0.9385927563039175 0.7812714216656402
